TIME,UTIME,ITERATION,COMPW,FREQ_B,FREQ_L,FREQ_G,UTIL0,UTIL1,UTIL2,UTIL3,UTIL4,UTIL5,GPU_UTIL,VDDINW,MUXW,GPUW,SOCW,CPUW,DDRW,WIFIW,SPEED,MECHW,EXECT,EPD,DIST,SOC,SOH
Tue Feb  3 11:28:43 2026,1770110923,0,5702,499200,499200,216750,87,0,0,33,86,21,0,4067,1635,151,760,1291,1047,171,0.5,1746.14,0,14.8963,0.5,0.999955,0.85
Tue Feb  3 11:28:44 2026,1770110924,1,4147,499200,499200,318750,37,0,0,53,90,100,0,2511,1636,152,532,456,476,323,1.95,4193.3,0.0347758,4.27708,2.45,0.999905,0.85
Tue Feb  3 11:28:45 2026,1770110925,2,3577,499200,499200,318750,8,0,0,8,100,21,0,1941,1636,152,456,304,304,190,1.95,4193.3,0.0273069,3.98477,4.4,0.999858,0.85
Tue Feb  3 11:28:46 2026,1770110926,3,3426,499200,499200,318750,12,0,0,4,100,4,0,1789,1637,152,456,304,285,76,1.95,4193.3,0.0258454,3.90733,6.35,0.999812,0.85
Tue Feb  3 11:28:47 2026,1770110927,4,3539,499200,499200,318750,17,0,0,92,97,7,0,1903,1636,152,532,380,323,57,1.95,4193.3,0.027261,3.96528,8.3,0.999766,0.85
Tue Feb  3 11:28:48 2026,1770110928,5,4185,499200,499200,318750,88,0,0,100,79,84,0,2549,1636,152,532,456,514,304,1.95,4193.3,0.0263691,4.29656,10.25,0.999715,0.85
Tue Feb  3 11:28:49 2026,1770110929,6,4299,499200,499200,318750,77,0,0,100,100,89,0,2663,1636,152,532,456,552,361,1.95,4193.3,0.0347977,4.35503,12.2,0.999664,0.85
Tue Feb  3 11:28:50 2026,1770110930,7,4147,499200,499200,318750,88,0,0,84,95,84,0,2511,1636,152,532,456,514,266,1.95,4193.3,0.029593,4.27708,14.15,0.999614,0.85
Tue Feb  3 11:28:51 2026,1770110931,8,4109,499200,499200,318750,95,0,0,94,84,90,0,2473,1636,152,532,456,552,209,1.95,4193.3,0.0324044,4.25759,16.1,0.999563,0.85
Tue Feb  3 11:28:52 2026,1770110932,9,4072,499200,499200,318750,58,0,0,98,100,62,0,2436,1636,152,532,456,514,209,1.95,4193.3,0.033777,4.23862,18.05,0.999514,0.85
Tue Feb  3 11:28:53 2026,1770110933,10,3957,499200,499200,318750,52,0,0,62,100,93,0,2321,1636,152,532,456,514,133,1.95,4193.3,0.0303991,4.17964,20,0.999465,0.85
Tue Feb  3 11:28:54 2026,1770110934,11,4109,499200,499200,318750,77,0,0,64,84,68,0,2473,1636,152,532,456,514,285,1.95,4193.3,0.0310565,4.25759,21.95,0.999414,0.849999
Tue Feb  3 11:28:55 2026,1770110935,12,3881,499200,499200,318750,41,0,0,45,98,37,0,2245,1636,152,456,380,437,228,1.95,4193.3,0.0428283,4.14067,23.9,0.999366,0.849999
Tue Feb  3 11:28:56 2026,1770110936,13,3957,499200,499200,318750,27,0,0,31,100,27,0,2321,1636,152,456,380,418,323,1.95,4193.3,0.0305533,4.17964,25.85,0.999317,0.849999
Tue Feb  3 11:28:57 2026,1770110937,14,3957,499200,499200,318750,33,0,0,27,44,82,0,2321,1636,152,456,380,437,304,1.95,4193.3,0.0281406,4.17964,27.8,0.999268,0.849999
Tue Feb  3 11:28:58 2026,1770110938,15,3995,499200,499200,318750,33,0,0,35,25,99,0,2359,1636,152,532,380,418,342,1.95,4193.3,0.0305137,4.19913,29.75,0.999218,0.849999
Tue Feb  3 11:28:59 2026,1770110939,16,4109,499200,499200,318750,73,0,0,100,52,70,0,2473,1636,152,532,456,456,342,1.95,4193.3,0.0382839,4.25759,31.7,0.999168,0.849999
Tue Feb  3 11:29:00 2026,1770110940,17,3995,499200,499200,318750,97,0,0,75,53,78,0,2359,1636,152,456,380,380,342,1.95,4193.3,0.0304133,4.19913,33.65,0.999119,0.849999
Tue Feb  3 11:29:01 2026,1770110941,18,3805,499200,499200,318750,40,0,0,99,41,100,0,2169,1636,152,532,380,361,247,1.95,4193.3,0.0283922,4.10169,35.6,0.999071,0.849999
Tue Feb  3 11:29:02 2026,1770110942,19,4072,499200,499200,318750,72,0,0,85,89,72,0,2436,1636,152,532,456,476,266,1.95,4193.3,0.0314337,4.23862,37.55,0.999021,0.849998
Tue Feb  3 11:29:03 2026,1770110943,20,3995,499200,499200,318750,95,0,0,94,96,95,0,2359,1636,152,532,456,476,190,1.95,4193.3,0.0522668,4.19913,39.5,0.998971,0.849998
